Player Id,First Name,Last Name,Current Handle,Country Key
1000,Min Chul,Jang,MC,C_117
1001,Jae Duk,Lim,NesTea,C_117
1002,Jong Hyun,Jung,Mvp,C_117
1003,Sung Hoon,Choi,Polt,C_117
1004,Jung Hoon,Lee,MarineKing,C_117
1007,Sung Won,Moon,MMA,C_117
1009,Kang Ho,Hwang,LosirA,C_117
1011,Cho-Won,Kang,san,C_117
1014,Seung Chul,Kim,sCsC,C_117
1017,Hyun Woo,Byun,Byun,C_117
1018,Min Soo,Jung,Genius,C_117
1020,Chris,Loranger,HuK,C_037
1024,Hoon Jung,Ji,Jjakji,C_117
1025,Dong Nyung,Lee,Leenock,C_117
1029,Dong Won,Kim,Ryung,C_117
1030,Ji Sung,Choi,Bomber,C_117
1033,Lee Seok,Han,aLive,C_117
1034,Joon Sik,Yang,Alicia,C_117
1036,Kyo Seok,Hwang,KeeN,C_117
1037,Won Ki,Kim,FruitDealer,C_117
1049,Do Joon,Chae,Noblesse,C_117
1052,Dong Hwan,Kim,viOLet,C_117
1057,Soo Ho,Park,DongRaeGu,C_117
1061,Young Suh,Yoon,TaeJa,C_117
1064,Byung Jae,Koh,GuMiho,C_117
1070,Hyun Woo,Park,Squirtle,C_117
1076,Chia Cheng,Yang,Sen,C_045
1080,Hyun Woo,Jang,Creator,C_117
1081,Joong Hyuk,Cho,Dream,C_117
1082,Byung Hyun,Choi,YoDa,C_117
1086,Hyeon Deok,Song,HerO,C_117
1091,Tae Hoon,Kwon,Sniper,C_117
1094,Johan,Lucchesi,NaNiwa,C_217
1100,Jeffrey,Brusi,SjoW,C_217
1120,Kyung Deok,Kim,duckdeok,C_117
1123,Marcus,Eklöf,ThorZaIN,C_217
1126,Sung Choo,Cho,Maru,C_117
1129,Ji Soo,Park,fOrGG,C_117
1132,Lee Sak,Won,PartinG,C_117
1134,Ki Soo,Han,CrazymoviNG,C_117
1135,Dong Hyun,Kang,Symbol,C_117
1158,Ilyes,Satouri,Stephano,C_075
1163,Rori,Bryant-Raible,CauthonLuck,C_241
1165,Dario,W�nsch,TLO,C_084
1174,Ho Joon,Lee,PuMa,C_117
1175,Juan Carlos,Lopez,SpeCial,C_139
1219,Tyler,Blevins,Ninja,C_241
1225,Grzegorz,Komincz,MaNa,C_178
1227,Artur,Bloch,Nerchio,C_178
1233,Dennis,Schneider,HasuObs,C_084
1233,Dennis,Schneider,HasuObs,C_084
1236,Jin,Hui Cao,Jim,C_044
1239,Lei,Wang,XiGua,C_044
1244,Cong,Shu,StrifeCro,C_241
1257,Jens,Aasgaard,Snute,C_165
1280,Juan,Moreno Dur�n,VortiX,C_210
1285,Aleksandr,Svusuyk,Bly,C_233
1297,Hyo Jong,Kim,horror,C_117
1352,Li Wei,Sun,xiaOt,C_044
